Supplier Name,Supplier Username,Supplier Password,Supplier Account Status
Sales Person 1,sp1,1,Active
Sales Person 2,sp2,1,Active
Sales Person 3,sp3,1,Active
Sales Person 4,sp4,1,Active
Sales Person 5,sp5,1,Active
Sales Person 6,sp6,1,Active
Sales Person 7,sp7,1,Active
Sales Person 8,sp8,1,Active
Sales Person 9,sp9,1,Active
Sales Person 10,sp10,1,Active
Sales Person 11,sp11,1,Active
Sales Person 12,sp12,1,Active
Sales Person 13,sp13,1,Active
Sales Person 14,sp14,1,Active
Sales Person 15,sp15,1,Active
